<-0.89, 11.544993>
<0.85, 12.004993>
<0.83, 13.59499>
<-0.74, 13.494989>
<-0.49, 12.60499>
<0.15, 12.699988>
<0.06, 14.309985>
<-0.94, 15.674983>
<-0.23, 16.349981>
<1.68, 16.029982>
<0.82, 15.409981>
<3.35, 16.209978>
<3.67, 15.3099785>
<4.65, 16.304976>
<4.42, 16.834974>
<4.05, 17.574974>
<4.29, 18.644972>
<3.7, 19.374971>
<3.38, 18.644972>
<3.13, 17.93497>
<2.6, 17.18497>
<1.96, 17.744972>
<2.32, 18.814972>
<2.01, 19.624971>
<0.94, 18.994972>
<1.26, 18.064972>
<0.46, 17.694973>
<0.95, 16.854975>
<-0.73698497, 17.611948>
<-1.756985, 16.831947>
<-2.006985, 15.991948>
<-3.256985, 15.871948>
<-2.766985, 17.051949>
<-3.8969848, 16.381948>
<-4.356985, 16.001947>
<-4.216985, 17.081947>
<-3.496985, 17.321949>
<-3.4369848, 18.251947>
<-4.576985, 18.321949>
<-4.256985, 19.301949>
<-3.1369848, 19.551949>
<-2.476985, 18.791948>
<-1.8269849, 17.961948>
<-1.3169849, 19.041948>
<-0.42698494, 18.501947>
<0.19301504, 18.821949>
<0.30223608, 11.019779>
<-0.5377639, 10.819779>
<-0.007763911, 12.1997795>
<0.9022361, 13.599777>
<-0.9377639, 14.949776>
<1.2522361, 14.339774>
<1.3022361, 16.49477>
<0.5322361, 16.19477>
<-0.5277639, 16.674768>
<-0.92776394, 17.79477>
<0.75223607, 17.874767>
<-0.8877639, 17.534763>
<-2.3777637, 16.494764>
<0.8722361, 16.194763>
<2.9822361, 16.304764>
<2.7122362, 15.704764>
<1.9422362, 15.714764>
<4.692236, 15.874764>
<3.852236, 16.444763>
<4.242236, 17.084764>
<3.312236, 17.389763>
<3.7422361, 18.789762>
<4.182236, 19.509762>
<-1.8777639, 19.519762>
<-1.9477639, 18.839762>
<-2.697764, 18.209763>
<-3.407764, 19.069761>
<-4.007764, 18.019762>
<-4.7277637, 16.829762>
